endpoint1,endpoint2,step,time_index,time,formant,frequency
w01aw,w01iy,4,30,0.425,2,2320
w01aw,w01iy,4,30,0.425,3,2898
w01aw,w01iy,5,1,0.092,1,376
w01aw,w01iy,5,1,0.092,2,2767
w01aw,w01iy,5,1,0.092,3,2743
w01aw,w01iy,5,2,0.104,1,404
w01aw,w01iy,5,2,0.104,2,2755
w01aw,w01iy,5,2,0.104,3,2753
w01aw,w01iy,5,3,0.115,1,442
w01aw,w01iy,5,3,0.115,2,2761
w01aw,w01iy,5,3,0.115,3,2777
w01aw,w01iy,5,4,0.127,1,462
w01aw,w01iy,5,4,0.127,2,2761
w01aw,w01iy,5,4,0.127,3,2795
w01aw,w01iy,5,5,0.138,1,472
w01aw,w01iy,5,5,0.138,2,2744
w01aw,w01iy,5,5,0.138,3,2807
w01aw,w01iy,5,6,0.15,1,471
w01aw,w01iy,5,6,0.15,2,2757
w01aw,w01iy,5,6,0.15,3,2805
w01aw,w01iy,5,7,0.161,1,462
w01aw,w01iy,5,7,0.161,2,2819
w01aw,w01iy,5,7,0.161,3,2815
w01aw,w01iy,5,8,0.173,1,460
w01aw,w01iy,5,8,0.173,2,2872
w01aw,w01iy,5,8,0.173,3,2826
w01aw,w01iy,5,9,0.184,1,458
w01aw,w01iy,5,9,0.184,2,2876
w01aw,w01iy,5,9,0.184,3,2822
w01aw,w01iy,5,10,0.196,1,457
w01aw,w01iy,5,10,0.196,2,2863
w01aw,w01iy,5,10,0.196,3,2822
w01aw,w01iy,5,11,0.207,1,455
w01aw,w01iy,5,11,0.207,2,2849
w01aw,w01iy,5,11,0.207,3,2828
w01aw,w01iy,5,12,0.219,1,455
w01aw,w01iy,5,12,0.219,2,2834
w01aw,w01iy,5,12,0.219,3,2834
w01aw,w01iy,5,13,0.23,1,455
w01aw,w01iy,5,13,0.23,2,2829
w01aw,w01iy,5,13,0.23,3,2838
w01aw,w01iy,5,14,0.242,1,456
w01aw,w01iy,5,14,0.242,2,2821
w01aw,w01iy,5,14,0.242,3,2845
w01aw,w01iy,5,15,0.253,1,455
w01aw,w01iy,5,15,0.253,2,2807
w01aw,w01iy,5,15,0.253,3,2855
w01aw,w01iy,5,16,0.264,1,455
w01aw,w01iy,5,16,0.264,2,2796
w01aw,w01iy,5,16,0.264,3,2861
w01aw,w01iy,5,17,0.276,1,456
w01aw,w01iy,5,17,0.276,2,2795
w01aw,w01iy,5,17,0.276,3,2869
w01aw,w01iy,5,18,0.287,1,456
w01aw,w01iy,5,18,0.287,2,2792
w01aw,w01iy,5,18,0.287,3,2883
w01aw,w01iy,5,19,0.299,1,455
w01aw,w01iy,5,19,0.299,2,2792
w01aw,w01iy,5,19,0.299,3,2891
w01aw,w01iy,5,20,0.31,1,454
w01aw,w01iy,5,20,0.31,2,2794
w01aw,w01iy,5,20,0.31,3,2908
w01aw,w01iy,5,21,0.322,1,454
w01aw,w01iy,5,21,0.322,2,2803
w01aw,w01iy,5,21,0.322,3,2883
w01aw,w01iy,5,22,0.333,1,454
w01aw,w01iy,5,22,0.333,2,2810
w01aw,w01iy,5,22,0.333,3,2809
w01aw,w01iy,5,23,0.345,1,452
w01aw,w01iy,5,23,0.345,2,2816
w01aw,w01iy,5,23,0.345,3,2793
w01aw,w01iy,5,24,0.356,1,452
w01aw,w01iy,5,24,0.356,2,2834
w01aw,w01iy,5,24,0.356,3,2794
w01aw,w01iy,5,25,0.368,1,451
w01aw,w01iy,5,25,0.368,2,2839
w01aw,w01iy,5,25,0.368,3,2815
w01aw,w01iy,5,26,0.379,1,452
w01aw,w01iy,5,26,0.379,2,2806
w01aw,w01iy,5,26,0.379,3,2806
w01aw,w01iy,5,27,0.391,1,455
w01aw,w01iy,5,27,0.391,2,2738
w01aw,w01iy,5,27,0.391,3,2805
w01aw,w01iy,5,28,0.402,1,457
w01aw,w01iy,5,28,0.402,2,2673
w01aw,w01iy,5,28,0.402,3,2829
w01aw,w01iy,5,29,0.414,1,457
w01aw,w01iy,5,29,0.414,2,2570
w01aw,w01iy,5,29,0.414,3,2878
w01aw,w01iy,5,30,0.425,1,457
w01aw,w01iy,5,30,0.425,2,2449
w01aw,w01iy,5,30,0.425,3,2898
