endpoint1,endpoint2,step,time_index,time,formant,frequency
w02aw,w02iy,4,6,0.221,1,654
w02aw,w02iy,4,6,0.221,2,1669
w02aw,w02iy,4,6,0.221,3,3074
w02aw,w02iy,4,7,0.239,1,652
w02aw,w02iy,4,7,0.239,2,1665
w02aw,w02iy,4,7,0.239,3,3077
w02aw,w02iy,4,8,0.257,1,653
w02aw,w02iy,4,8,0.257,2,1667
w02aw,w02iy,4,8,0.257,3,3072
w02aw,w02iy,4,9,0.274,1,655
w02aw,w02iy,4,9,0.274,2,1676
w02aw,w02iy,4,9,0.274,3,3066
w02aw,w02iy,4,10,0.292,1,657
w02aw,w02iy,4,10,0.292,2,1690
w02aw,w02iy,4,10,0.292,3,3074
w02aw,w02iy,4,11,0.31,1,657
w02aw,w02iy,4,11,0.31,2,1701
w02aw,w02iy,4,11,0.31,3,3059
w02aw,w02iy,4,12,0.328,1,660
w02aw,w02iy,4,12,0.328,2,1724
w02aw,w02iy,4,12,0.328,3,3073
w02aw,w02iy,4,13,0.346,1,662
w02aw,w02iy,4,13,0.346,2,1749
w02aw,w02iy,4,13,0.346,3,3097
w02aw,w02iy,4,14,0.363,1,663
w02aw,w02iy,4,14,0.363,2,1776
w02aw,w02iy,4,14,0.363,3,3114
w02aw,w02iy,4,15,0.381,1,665
w02aw,w02iy,4,15,0.381,2,1794
w02aw,w02iy,4,15,0.381,3,3106
w02aw,w02iy,4,16,0.399,1,664
w02aw,w02iy,4,16,0.399,2,1814
w02aw,w02iy,4,16,0.399,3,3109
w02aw,w02iy,4,17,0.417,1,666
w02aw,w02iy,4,17,0.417,2,1847
w02aw,w02iy,4,17,0.417,3,3113
w02aw,w02iy,4,18,0.434,1,672
w02aw,w02iy,4,18,0.434,2,1911
w02aw,w02iy,4,18,0.434,3,3136
w02aw,w02iy,4,19,0.452,1,671
w02aw,w02iy,4,19,0.452,2,1966
w02aw,w02iy,4,19,0.452,3,3147
w02aw,w02iy,4,20,0.47,1,661
w02aw,w02iy,4,20,0.47,2,1995
w02aw,w02iy,4,20,0.47,3,3140
w02aw,w02iy,4,21,0.488,1,654
w02aw,w02iy,4,21,0.488,2,2017
w02aw,w02iy,4,21,0.488,3,3082
w02aw,w02iy,4,22,0.506,1,656
w02aw,w02iy,4,22,0.506,2,2086
w02aw,w02iy,4,22,0.506,3,3086
w02aw,w02iy,4,23,0.523,1,657
w02aw,w02iy,4,23,0.523,2,2148
w02aw,w02iy,4,23,0.523,3,3090
w02aw,w02iy,4,24,0.541,1,650
w02aw,w02iy,4,24,0.541,2,2183
w02aw,w02iy,4,24,0.541,3,3077
w02aw,w02iy,4,25,0.559,1,628
w02aw,w02iy,4,25,0.559,2,2179
w02aw,w02iy,4,25,0.559,3,3053
w02aw,w02iy,4,26,0.577,1,595
w02aw,w02iy,4,26,0.577,2,2159
w02aw,w02iy,4,26,0.577,3,3046
w02aw,w02iy,4,27,0.595,1,557
w02aw,w02iy,4,27,0.595,2,2077
w02aw,w02iy,4,27,0.595,3,3022
w02aw,w02iy,4,28,0.612,1,488
w02aw,w02iy,4,28,0.612,2,1976
w02aw,w02iy,4,28,0.612,3,2998
w02aw,w02iy,4,29,0.63,1,418
w02aw,w02iy,4,29,0.63,2,1992
w02aw,w02iy,4,29,0.63,3,3027
w02aw,w02iy,4,30,0.648,1,429
w02aw,w02iy,4,30,0.648,2,1977
w02aw,w02iy,4,30,0.648,3,3099
w02aw,w02iy,5,1,0.132,1,588
w02aw,w02iy,5,1,0.132,2,1771
w02aw,w02iy,5,1,0.132,3,3138
w02aw,w02iy,5,2,0.15,1,618
w02aw,w02iy,5,2,0.15,2,1802
w02aw,w02iy,5,2,0.15,3,3183
w02aw,w02iy,5,3,0.168,1,620
w02aw,w02iy,5,3,0.168,2,1820
w02aw,w02iy,5,3,0.168,3,3183
w02aw,w02iy,5,4,0.186,1,618
w02aw,w02iy,5,4,0.186,2,1813
w02aw,w02iy,5,4,0.186,3,3139
w02aw,w02iy,5,5,0.203,1,620
w02aw,w02iy,5,5,0.203,2,1830
w02aw,w02iy,5,5,0.203,3,3153
w02aw,w02iy,5,6,0.221,1,618
w02aw,w02iy,5,6,0.221,2,1833
w02aw,w02iy,5,6,0.221,3,3171
w02aw,w02iy,5,7,0.239,1,616
w02aw,w02iy,5,7,0.239,2,1827
w02aw,w02iy,5,7,0.239,3,3172
w02aw,w02iy,5,8,0.257,1,617
w02aw,w02iy,5,8,0.257,2,1827
w02aw,w02iy,5,8,0.257,3,3162
w02aw,w02iy,5,9,0.274,1,617
w02aw,w02iy,5,9,0.274,2,1833
w02aw,w02iy,5,9,0.274,3,3152
w02aw,w02iy,5,10,0.292,1,619
w02aw,w02iy,5,10,0.292,2,1845
w02aw,w02iy,5,10,0.292,3,3158
w02aw,w02iy,5,11,0.31,1,618
w02aw,w02iy,5,11,0.31,2,1855
w02aw,w02iy,5,11,0.31,3,3145
w02aw,w02iy,5,12,0.328,1,620
w02aw,w02iy,5,12,0.328,2,1877
w02aw,w02iy,5,12,0.328,3,3159
w02aw,w02iy,5,13,0.346,1,622
w02aw,w02iy,5,13,0.346,2,1898
w02aw,w02iy,5,13,0.346,3,3180
w02aw,w02iy,5,14,0.363,1,623
w02aw,w02iy,5,14,0.363,2,1923
w02aw,w02iy,5,14,0.363,3,3192
w02aw,w02iy,5,15,0.381,1,624
w02aw,w02iy,5,15,0.381,2,1941
w02aw,w02iy,5,15,0.381,3,3183
w02aw,w02iy,5,16,0.399,1,623
w02aw,w02iy,5,16,0.399,2,1960
w02aw,w02iy,5,16,0.399,3,3182
w02aw,w02iy,5,17,0.417,1,624
w02aw,w02iy,5,17,0.417,2,1991
w02aw,w02iy,5,17,0.417,3,3177
w02aw,w02iy,5,18,0.434,1,629
w02aw,w02iy,5,18,0.434,2,2050
w02aw,w02iy,5,18,0.434,3,3199
w02aw,w02iy,5,19,0.452,1,628
w02aw,w02iy,5,19,0.452,2,2096
w02aw,w02iy,5,19,0.452,3,3208
w02aw,w02iy,5,20,0.47,1,620
w02aw,w02iy,5,20,0.47,2,2119
w02aw,w02iy,5,20,0.47,3,3202
w02aw,w02iy,5,21,0.488,1,615
w02aw,w02iy,5,21,0.488,2,2138
w02aw,w02iy,5,21,0.488,3,3155
w02aw,w02iy,5,22,0.506,1,617
w02aw,w02iy,5,22,0.506,2,2198
w02aw,w02iy,5,22,0.506,3,3153
w02aw,w02iy,5,23,0.523,1,619
w02aw,w02iy,5,23,0.523,2,2253
w02aw,w02iy,5,23,0.523,3,3142
w02aw,w02iy,5,24,0.541,1,614
w02aw,w02iy,5,24,0.541,2,2282
w02aw,w02iy,5,24,0.541,3,3112
w02aw,w02iy,5,25,0.559,1,596
w02aw,w02iy,5,25,0.559,2,2260
w02aw,w02iy,5,25,0.559,3,3063
w02aw,w02iy,5,26,0.577,1,569
w02aw,w02iy,5,26,0.577,2,2213
w02aw,w02iy,5,26,0.577,3,3040
w02aw,w02iy,5,27,0.595,1,536
w02aw,w02iy,5,27,0.595,2,2091
w02aw,w02iy,5,27,0.595,3,3011
w02aw,w02iy,5,28,0.612,1,475
w02aw,w02iy,5,28,0.612,2,1963
w02aw,w02iy,5,28,0.612,3,2993
w02aw,w02iy,5,29,0.63,1,409
w02aw,w02iy,5,29,0.63,2,2010
w02aw,w02iy,5,29,0.63,3,3034
w02aw,w02iy,5,30,0.648,1,431
w02aw,w02iy,5,30,0.648,2,2012
w02aw,w02iy,5,30,0.648,3,3170
w02aw,w02iy,6,1,0.132,1,548
w02aw,w02iy,6,1,0.132,2,1950
w02aw,w02iy,6,1,0.132,3,3218
w02aw,w02iy,6,2,0.15,1,580
w02aw,w02iy,6,2,0.15,2,1977
w02aw,w02iy,6,2,0.15,3,3266
w02aw,w02iy,6,3,0.168,1,587
w02aw,w02iy,6,3,0.168,2,1993
w02aw,w02iy,6,3,0.168,3,3268
w02aw,w02iy,6,4,0.186,1,585
w02aw,w02iy,6,4,0.186,2,1985
w02aw,w02iy,6,4,0.186,3,3228
w02aw,w02iy,6,5,0.203,1,585
w02aw,w02iy,6,5,0.203,2,2009
w02aw,w02iy,6,5,0.203,3,3246
w02aw,w02iy,6,6,0.221,1,583
w02aw,w02iy,6,6,0.221,2,2012
w02aw,w02iy,6,6,0.221,3,3271
w02aw,w02iy,6,7,0.239,1,581
w02aw,w02iy,6,7,0.239,2,2004
w02aw,w02iy,6,7,0.239,3,3270
w02aw,w02iy,6,8,0.257,1,581
w02aw,w02iy,6,8,0.257,2,2001
w02aw,w02iy,6,8,0.257,3,3256
w02aw,w02iy,6,9,0.274,1,581
w02aw,w02iy,6,9,0.274,2,2005
w02aw,w02iy,6,9,0.274,3,3242
w02aw,w02iy,6,10,0.292,1,582
w02aw,w02iy,6,10,0.292,2,2015
w02aw,w02iy,6,10,0.292,3,3244
w02aw,w02iy,6,11,0.31,1,580
w02aw,w02iy,6,11,0.31,2,2023
w02aw,w02iy,6,11,0.31,3,3235
w02aw,w02iy,6,12,0.328,1,583
w02aw,w02iy,6,12,0.328,2,2043
w02aw,w02iy,6,12,0.328,3,3247
w02aw,w02iy,6,13,0.346,1,583
w02aw,w02iy,6,13,0.346,2,2061
w02aw,w02iy,6,13,0.346,3,3265
w02aw,w02iy,6,14,0.363,1,584
w02aw,w02iy,6,14,0.363,2,2082
w02aw,w02iy,6,14,0.363,3,3273
w02aw,w02iy,6,15,0.381,1,585
w02aw,w02iy,6,15,0.381,2,2099
w02aw,w02iy,6,15,0.381,3,3263
w02aw,w02iy,6,16,0.399,1,583
w02aw,w02iy,6,16,0.399,2,2118
w02aw,w02iy,6,16,0.399,3,3257
w02aw,w02iy,6,17,0.417,1,584
w02aw,w02iy,6,17,0.417,2,2147
w02aw,w02iy,6,17,0.417,3,3243
w02aw,w02iy,6,18,0.434,1,587
w02aw,w02iy,6,18,0.434,2,2198
w02aw,w02iy,6,18,0.434,3,3263
w02aw,w02iy,6,19,0.452,1,587
w02aw,w02iy,6,19,0.452,2,2235
w02aw,w02iy,6,19,0.452,3,3271
w02aw,w02iy,6,20,0.47,1,580
w02aw,w02iy,6,20,0.47,2,2252
w02aw,w02iy,6,20,0.47,3,3265
w02aw,w02iy,6,21,0.488,1,577
w02aw,w02iy,6,21,0.488,2,2265
w02aw,w02iy,6,21,0.488,3,3230
w02aw,w02iy,6,22,0.506,1,580
w02aw,w02iy,6,22,0.506,2,2316
w02aw,w02iy,6,22,0.506,3,3221
w02aw,w02iy,6,23,0.523,1,582
w02aw,w02iy,6,23,0.523,2,2363
w02aw,w02iy,6,23,0.523,3,3195
w02aw,w02iy,6,24,0.541,1,579
w02aw,w02iy,6,24,0.541,2,2386
w02aw,w02iy,6,24,0.541,3,3148
w02aw,w02iy,6,25,0.559,1,566
w02aw,w02iy,6,25,0.559,2,2344
w02aw,w02iy,6,25,0.559,3,3074
w02aw,w02iy,6,26,0.577,1,544
w02aw,w02iy,6,26,0.577,2,2270
w02aw,w02iy,6,26,0.577,3,3034
w02aw,w02iy,6,27,0.595,1,515
w02aw,w02iy,6,27,0.595,2,2106
w02aw,w02iy,6,27,0.595,3,3000
w02aw,w02iy,6,28,0.612,1,462
w02aw,w02iy,6,28,0.612,2,1949
w02aw,w02iy,6,28,0.612,3,2988
w02aw,w02iy,6,29,0.63,1,400
w02aw,w02iy,6,29,0.63,2,2028
w02aw,w02iy,6,29,0.63,3,3041
w02aw,w02iy,6,30,0.648,1,434
w02aw,w02iy,6,30,0.648,2,2047
w02aw,w02iy,6,30,0.648,3,3243
w02aw,w02iy,7,1,0.132,1,508
w02aw,w02iy,7,1,0.132,2,2146
w02aw,w02iy,7,1,0.132,3,3301
w02aw,w02iy,7,2,0.15,1,543
w02aw,w02iy,7,2,0.15,2,2169
w02aw,w02iy,7,2,0.15,3,3351
w02aw,w02iy,7,3,0.168,1,556
w02aw,w02iy,7,3,0.168,2,2182
w02aw,w02iy,7,3,0.168,3,3355
w02aw,w02iy,7,4,0.186,1,553
w02aw,w02iy,7,4,0.186,2,2173
w02aw,w02iy,7,4,0.186,3,3321
w02aw,w02iy,7,5,0.203,1,551
w02aw,w02iy,7,5,0.203,2,2204
w02aw,w02iy,7,5,0.203,3,3342
w02aw,w02iy,7,6,0.221,1,548
w02aw,w02iy,7,6,0.221,2,2210
w02aw,w02iy,7,6,0.221,3,3375
w02aw,w02iy,7,7,0.239,1,546
w02aw,w02iy,7,7,0.239,2,2199
w02aw,w02iy,7,7,0.239,3,3372
w02aw,w02iy,7,8,0.257,1,546
w02aw,w02iy,7,8,0.257,2,2192
w02aw,w02iy,7,8,0.257,3,3353
w02aw,w02iy,7,9,0.274,1,545
w02aw,w02iy,7,9,0.274,2,2193
w02aw,w02iy,7,9,0.274,3,3334
w02aw,w02iy,7,10,0.292,1,546
w02aw,w02iy,7,10,0.292,2,2200
w02aw,w02iy,7,10,0.292,3,3333
w02aw,w02iy,7,11,0.31,1,544
w02aw,w02iy,7,11,0.31,2,2206
w02aw,w02iy,7,11,0.31,3,3327
w02aw,w02iy,7,12,0.328,1,546
w02aw,w02iy,7,12,0.328,2,2223
w02aw,w02iy,7,12,0.328,3,3338
w02aw,w02iy,7,13,0.346,1,546
w02aw,w02iy,7,13,0.346,2,2237
w02aw,w02iy,7,13,0.346,3,3354
w02aw,w02iy,7,14,0.363,1,546
w02aw,w02iy,7,14,0.363,2,2255
w02aw,w02iy,7,14,0.363,3,3356
w02aw,w02iy,7,15,0.381,1,547
w02aw,w02iy,7,15,0.381,2,2271
w02aw,w02iy,7,15,0.381,3,3345
w02aw,w02iy,7,16,0.399,1,545
w02aw,w02iy,7,16,0.399,2,2288
w02aw,w02iy,7,16,0.399,3,3333
w02aw,w02iy,7,17,0.417,1,545
w02aw,w02iy,7,17,0.417,2,2315
w02aw,w02iy,7,17,0.417,3,3311
w02aw,w02iy,7,18,0.434,1,547
w02aw,w02iy,7,18,0.434,2,2358
w02aw,w02iy,7,18,0.434,3,3328
w02aw,w02iy,7,19,0.452,1,547
w02aw,w02iy,7,19,0.452,2,2384
w02aw,w02iy,7,19,0.452,3,3336
w02aw,w02iy,7,20,0.47,1,542
w02aw,w02iy,7,20,0.47,2,2393
w02aw,w02iy,7,20,0.47,3,3329
w02aw,w02iy,7,21,0.488,1,540
w02aw,w02iy,7,21,0.488,2,2401
w02aw,w02iy,7,21,0.488,3,3308
w02aw,w02iy,7,22,0.506,1,543
w02aw,w02iy,7,22,0.506,2,2441
w02aw,w02iy,7,22,0.506,3,3291
w02aw,w02iy,7,23,0.523,1,546
w02aw,w02iy,7,23,0.523,2,2479
w02aw,w02iy,7,23,0.523,3,3250
w02aw,w02iy,7,24,0.541,1,545
w02aw,w02iy,7,24,0.541,2,2496
w02aw,w02iy,7,24,0.541,3,3184
w02aw,w02iy,7,25,0.559,1,536
w02aw,w02iy,7,25,0.559,2,2432
